"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"518",0,0,0,0,0,0,0,0,0,1
"519",0,0,0,0,2,0,0,1,0,2
"520",0,0,0,0,1,0,0,0,0,1
"521",1,0,0,1,0,1,0,0,2,0
"522",0,0,0,0,0,0,1,0,0,0
"523",0,0,0,0,0,0,0,0,0,0
"524",1,1,0,0,1,0,1,1,0,1
"525",0,0,0,0,0,0,0,0,0,0
"526",0,1,0,1,1,0,0,1,0,1
"527",0,1,0,0,1,0,1,1,0,1
"528",1,0,0,0,0,0,0,0,1,0
"529",0,0,0,0,0,0,0,0,0,0
"530",0,2,0,0,1,1,0,1,1,1
"531",0,0,0,0,0,0,0,0,0,0
"532",0,0,0,0,2,1,0,0,1,4
"533",0,0,0,0,0,0,0,1,0,3
"534",0,0,0,0,0,0,0,0,0,0
"535",1,0,1,0,0,1,0,0,1,0
"536",0,0,0,0,0,0,0,0,0,0
"537",0,0,0,0,0,0,0,1,0,3
"538",0,0,0,0,0,0,0,0,0,0
"539",0,0,0,0,1,0,0,0,0,1
"540",0,0,0,0,0,0,0,0,0,0
"541",0,0,0,0,0,0,0,0,0,0
"542",0,1,0,0,0,0,0,0,0,0
"543",0,2,0,0,1,1,0,2,1,3
"544",0,0,0,0,0,0,0,0,0,0
"545",0,0,0,0,0,0,0,0,0,1
"546",0,0,0,0,1,0,0,0,0,1
"547",0,1,0,0,2,0,1,1,0,2
"548",2,2,1,0,2,1,1,2,2,4
"549",0,0,0,0,1,0,0,0,0,1
"550",1,2,0,0,0,0,1,0,0,1
"551",0,0,0,0,1,0,0,0,0,1
"552",0,1,0,0,0,0,0,0,0,1
"553",0,0,0,0,0,0,0,0,0,0
"554",0,0,0,0,1,0,0,0,0,1
"555",0,1,0,0,3,1,0,1,0,3
"556",0,1,0,0,1,1,0,1,0,1
"557",0,1,0,1,1,0,1,1,1,2
"558",0,1,0,1,1,0,0,1,0,2
"559",0,1,0,0,1,0,1,2,1,3
"560",0,0,0,0,0,0,0,0,0,0
"561",0,0,0,0,0,0,0,0,0,0
"562",0,0,0,0,0,0,0,0,0,0
"563",0,0,0,1,0,1,0,0,2,0
"564",4,8,1,6,8,6,5,12,9,21
"565",0,1,0,0,2,1,0,0,0,3
"566",0,0,0,0,0,0,0,0,0,0
"567",0,0,0,0,0,0,0,0,0,1
"568",2,1,1,2,0,1,1,1,2,2
"569",1,2,0,0,3,0,2,3,0,3
"570",0,0,0,0,0,0,0,0,0,1
"571",1,2,1,1,1,0,1,1,1,1
"572",0,0,0,0,3,1,1,1,0,5
"573",0,0,0,0,0,0,0,0,0,0
"574",0,0,0,1,2,1,1,0,1,2
"575",0,0,0,0,0,0,0,0,0,0
"576",0,0,0,0,1,0,0,0,0,1
"577",0,2,0,0,2,0,1,1,0,2
"578",0,0,0,0,0,0,0,1,0,1
"579",0,0,0,0,1,0,0,0,0,1
"580",0,0,0,0,0,0,0,0,1,0
"581",0,1,0,0,1,0,1,1,0,1
"582",0,1,0,1,2,1,0,2,1,5
"583",0,1,0,0,1,1,0,1,0,2
"584",0,0,0,0,0,0,0,0,0,0
"585",0,0,0,0,0,0,0,0,0,0
"586",0,0,0,0,0,0,0,0,0,0
"587",0,1,0,0,0,1,0,0,0,0
"588",0,2,0,0,2,0,0,1,0,4
"589",1,2,1,0,0,0,3,2,0,1
"590",0,0,0,0,0,0,0,0,0,0
"591",1,0,0,0,1,0,0,1,1,3
"592",0,0,0,0,0,0,0,0,0,0
"593",0,0,0,0,0,0,0,0,0,0
"594",0,0,0,0,1,0,0,0,0,1
"595",0,0,0,0,1,0,0,0,0,1
"596",0,0,0,0,0,0,0,0,0,0
"597",0,0,0,0,0,0,0,0,0,0
"598",0,1,0,0,1,0,0,1,0,1
